id_departamento,departamento,id_municipio,municipio,id_localidad,localidad,año_servicio,mes_servicio,energia_activa,energia_reactiva,potencia_maxima,dia_demanda_maxima,fecha_demanda_maxima,promedio_diario_horas
27,CHOCÓ,27077,BAJO BAUDÓ,27077019,VIRUDO (BAJO BAUDÓ - CHOCÓ),2024,10,352.0,172.0,60.0,domingo,2024 Oct 06 08:15:00 PM,24.0
27,CHOCÓ,27099,BOJAYÁ,27099005,NAPIPI (BOJAYÁ - CHOCÓ),2024,10,11.485,4.061,64.0,viernes,2024 Oct 04 07:00:00 PM,24.0
27,CHOCÓ,27099,BOJAYÁ,27099008,PUERTO CONTO (BOJAYÁ - CHOCÓ),2024,10,12.075,3.76,60.0,viernes,2024 Oct 11 06:30:00 PM,24.0
27,CHOCÓ,27250,EL LITORAL DEL SAN JUAN,27250000,SANTA GENOVEVA DE DOCORDO (EL LITORAL DEL SAN JUAN - CHOCÓ),2024,10,81.383,40.085,60.0,viernes,2024 Oct 11 07:15:00 PM,24.0
27,CHOCÓ,27372,JURADO,27372000,JURADO (JURADO - CHOCÓ),2024,10,182.969,61.194,60.0,jueves,2024 Oct 03 07:00:00 PM,24.0
27,CHOCÓ,27425,MEDIO ATRATO,27425000,BETE (MEDIO ATRATO - CHOCÓ),2024,10,19.063,8.733,68.0,sábado,2024 Oct 26 11:15:00 AM,24.0
27,CHOCÓ,27425,MEDIO ATRATO,27425008,SAN ROQUE (MEDIO ATRATO - CHOCÓ),2024,10,1.542,700.0,60.0,martes,2024 Oct 22 08:30:00 PM,24.0
27,CHOCÓ,27495,NUQUÍ,27495001,ARUSI (NUQUÍ - CHOCÓ),2024,10,16.399,6.235,60.0,sábado,2024 Oct 05 06:45:00 PM,24.0
27,CHOCÓ,27495,NUQUÍ,27495011,COMUNIDAD DE PUERTO JAGUA (NUQUÍ - CHOCÓ),2024,10,956.0,401.0,60.0,lunes,2024 Oct 14 06:15:00 PM,24.0
27,CHOCÓ,27495,NUQUÍ,27495912,COMUNIDAD INDÍGENA DE PANGUI - EL YUCAL (NUQUÍ - CHOCÓ),2024,10,6.761,1.683,60.0,jueves,2024 Oct 24 08:45:00 AM,24.0
27,CHOCÓ,27495,NUQUÍ,27495000,NUQUÍ (NUQUÍ - CHOCÓ),2024,10,292.011,101.507,60.0,viernes,2024 Oct 11 06:30:00 PM,23.0
27,CHOCÓ,27001,QUIBDÓ,27001029,TAGACHI (QUIBDÓ - CHOCÓ),2024,10,3.983,1.398,60.0,martes,2024 Oct 29 07:30:00 PM,24.0
27,CHOCÓ,27800,UNGUÍA,27800001,BALBOA (UNGUÍA - CHOCÓ),2024,10,28.284,14.449,60.0,domingo,2024 Oct 13 06:45:00 PM,24.0
27,CHOCÓ,27800,UNGUÍA,27800005,TITUMATE (UNGUÍA - CHOCÓ),2024,10,16.535,4.124,60.0,jueves,2024 Oct 17 07:15:00 PM,24.0
27,CHOCÓ,27800,UNGUÍA,27800000,UNGUÍA (UNGUÍA - CHOCÓ),2024,10,487.097,153.321,60.0,viernes,2024 Oct 25 07:45:00 PM,24.0
94,GUAINÍA,94001,INÍRIDA,94001905,CHORRO BOCON (INÍRIDA - GUAINÍA),2024,10,5.96,709.0,60.0,domingo,2024 Oct 06 06:15:00 PM,24.0
94,GUAINÍA,94001,INÍRIDA,94001000,INÍRIDA (INÍRIDA - GUAINÍA),2024,10,10.326,654.496,60.0,lunes,2024 Oct 21 02:45:00 PM,24.0
44,LA GUAJIRA,44847,URIBIA,44847012,NAZARETH (URIBIA - LA GUAJIRA),2024,10,36.281,7.757,60.0,martes,2024 Oct 29 06:15:00 PM,24.0
47,MAGDALENA,47189,CIÉNAGA,47189018,PALMOR (CIÉNAGA - MAGDALENA),2024,10,108.25,43.734,60.0,sábado,2024 Oct 26 06:30:00 PM,24.0
50,META,50325,MAPIRIPAN,50325000,MAPIRIPAN (MAPIRIPAN - META),2024,10,200.623,64.737,60.0,lunes,2024 Oct 21 06:00:00 PM,24.0
52,NARIÑO,52250,EL CHARCO,52250022,EL CUIL PUEBLO NUEVO (EL CHARCO - NARIÑO),2024,10,3.449,1.581,60.0,viernes,2024 Oct 25 06:30:00 PM,24.0
